,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra
144,1,2015-06-06 05:28:12,2015-06-06 05:50:41,2,7.9,-74.0012817383,40.7311592102,1,N,-73.9552459717,40.8233985901,1,25.5,0.5
145,1,2015-06-06 05:28:12,2015-06-06 05:43:34,1,5.4,-74.0054092407,40.7364387512,1,N,-73.9545059204,40.6873054504,1,17.5,0.5
146,2,2015-06-06 05:28:13,2015-06-06 05:48:33,1,4.84,-74.0039367676,40.7419395447,1,N,-73.9556121826,40.7444114685,2,18.0,0.5
147,2,2015-06-06 05:28:17,2015-06-06 05:42:34,3,4.08,-73.9821014404,40.7688865662,1,N,-73.9423065186,40.798866272,2,14.5,0.5
148,1,2015-06-06 05:28:19,2015-06-06 05:46:57,1,9.6,-73.9608154297,40.7111587524,1,N,-74.0235977173,40.6200866699,1,28.0,0.5
149,1,2015-06-06 05:28:19,2015-06-06 05:32:15,1,0.8,-73.992477417,40.7253074646,1,N,-73.9961853027,40.7323684692,2,5.0,0.5
150,1,2015-06-06 05:28:23,2015-06-06 05:33:49,1,1.8,-73.9890823364,40.7482376099,1,N,-73.9835739136,40.7694282532,2,7.5,0.5
151,1,2015-06-06 05:28:24,2015-06-06 05:35:44,1,2.0,-73.9867019653,40.7474975586,1,N,-73.9942779541,40.7244110107,1,8.5,0.5
152,2,2015-06-06 05:28:25,2015-06-06 06:03:03,5,18.2,-74.002494812,40.7397651672,2,N,-73.7830657959,40.6439552307,2,52.0,0.0
153,1,2015-06-06 05:28:26,2015-06-06 05:39:47,1,3.4,-73.9786300659,40.6839523315,1,N,-73.9566345215,40.6403694153,1,12.0,0.5
154,2,2015-06-06 05:28:26,2015-06-06 05:54:48,5,10.22,-73.9946746826,40.7642707825,1,N,-73.9946746826,40.7642707825,2,31.0,0.5
155,1,2015-06-06 05:28:26,2015-06-06 05:33:45,1,1.3,-73.9824142456,40.7315368652,1,N,-73.9848403931,40.7452659607,2,6.5,0.5
156,1,2015-06-06 05:28:28,2015-06-06 05:52:58,1,9.3,-74.0000534058,40.7387542725,1,N,-73.9635238647,40.644493103,1,29.0,0.5
157,1,2015-06-06 05:28:29,2015-06-06 05:38:08,1,1.9,-74.0065612793,40.743560791,1,N,-73.9951248169,40.7262382507,2,9.5,0.5
158,2,2015-06-06 05:28:30,2015-06-06 05:41:59,1,3.34,-73.9801864624,40.7854194641,1,N,-73.9666595459,40.7549209595,1,12.5,0.5
159,2,2015-06-06 05:28:30,2015-06-06 05:38:52,1,4.23,-74.0066452026,40.7442321777,1,N,-73.9677505493,40.7977790833,2,13.0,0.5
160,2,2015-06-06 05:28:30,2015-06-06 05:37:52,5,3.28,-73.9227142334,40.7607421875,1,N,-73.9656143188,40.7575454712,2,11.5,0.5
161,1,2015-06-06 05:28:31,2015-06-06 06:04:26,1,20.8,-73.9703369141,40.7890510559,2,N,-73.7763595581,40.6454200745,1,52.0,0.0
162,1,2015-06-06 05:28:32,2015-06-06 05:44:21,1,7.5,-74.0040283203,40.747833252,1,N,-73.9388885498,40.8223609924,1,22.5,0.5
